Datum,Vodostaj [cm],Temperatura vode [Â°C]
07.08.2023 05:00,213,24.9
07.08.2023 04:30,218,24.9
07.08.2023 04:00,229,24.9
07.08.2023 03:30,232,24.9
07.08.2023 03:00,235,24.9
07.08.2023 02:30,234,24.9
07.08.2023 02:00,241,24.9
07.08.2023 01:30,244,25.0
07.08.2023 01:00,248,25.0
07.08.2023 00:30,245,25.1
07.08.2023 00:00,239,25.1
06.08.2023 23:30,238,25.1
06.08.2023 23:00,238,25.1
06.08.2023 22:30,237,25.2
06.08.2023 22:00,224,25.2
06.08.2023 21:30,215,25.2
06.08.2023 21:00,207,25.2
06.08.2023 20:30,203,25.2
06.08.2023 20:00,200,25.2
06.08.2023 19:30,209,25.2
06.08.2023 19:00,209,25.2
06.08.2023 18:30,229,25.2
06.08.2023 18:00,235,25.2
06.08.2023 17:30,248,25.2
06.08.2023 17:00,260,25.2
06.08.2023 16:30,269,25.2
06.08.2023 16:00,277,25.2
06.08.2023 15:30,284,25.2
06.08.2023 15:00,290,25.1
06.08.2023 14:30,295,25.1
06.08.2023 14:00,298,25.1
06.08.2023 13:30,298,25.1
06.08.2023 13:00,297,25.1
06.08.2023 12:30,295,25.1
06.08.2023 12:00,289,25.1
06.08.2023 11:30,278,25.1
06.08.2023 11:00,265,25.1
06.08.2023 10:30,250,25.1
06.08.2023 10:00,237,25.1
06.08.2023 09:30,222,25.1
06.08.2023 09:00,209,25.1
06.08.2023 08:30,198,25.1
06.08.2023 08:00,189,25.1
06.08.2023 07:30,185,25.1
06.08.2023 07:00,188,25.1
06.08.2023 06:30,188,25.1
06.08.2023 06:00,193,25.1
06.08.2023 05:30,195,25.1
06.08.2023 05:00,205,25.1
06.08.2023 04:30,207,25.1
06.08.2023 04:00,215,25.1
06.08.2023 03:30,220,25.1
06.08.2023 03:00,231,25.1
06.08.2023 02:30,244,25.1
06.08.2023 02:00,256,25.1
06.08.2023 01:30,261,25.1
06.08.2023 01:00,261,25.2
06.08.2023 00:30,257,25.2
06.08.2023 00:00,251,25.2
05.08.2023 23:30,247,25.2
05.08.2023 23:00,241,25.2
05.08.2023 22:30,231,25.2
05.08.2023 22:00,225,25.2
05.08.2023 21:30,218,25.2
05.08.2023 21:00,218,25.2
05.08.2023 20:30,207,25.1
05.08.2023 20:00,206,25.1
05.08.2023 19:30,212,25.1
05.08.2023 19:00,216,25.0
05.08.2023 18:30,222,25.0
05.08.2023 18:00,224,25.0
05.08.2023 17:30,231,25.0
05.08.2023 17:00,241,25.0
05.08.2023 16:30,254,25.0
05.08.2023 16:00,270,25.1
05.08.2023 15:30,279,25.1
05.08.2023 15:00,293,25.1
05.08.2023 14:30,299,25.0
05.08.2023 14:00,302,24.7
05.08.2023 13:30,285,24.5
05.08.2023 13:00,278,24.5
05.08.2023 12:30,272,24.7
05.08.2023 12:00,271,24.9
05.08.2023 11:30,261,25.1
05.08.2023 11:00,248,25.2
05.08.2023 10:30,236,25.1
05.08.2023 10:00,232,25.1
